"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"M&amp;M","EQ","18-Sep-2017","       1294.25","       1301.00","       1306.20","       1291.00","       1293.40","       1295.00","       1299.48","     651221","           846246873.60","      27283","     371626","         57.07"
"M&amp;M","EQ","19-Sep-2017","       1295.00","       1304.00","       1304.70","       1288.10","       1294.05","       1294.75","       1296.38","     487526","           632020751.50","      17824","     253733","         52.05"
"M&amp;M","EQ","20-Sep-2017","       1294.75","       1300.10","       1306.20","       1289.60","       1289.65","       1292.45","       1295.96","     838237","          1086325016.30","      35420","     500993","         59.77"
"M&amp;M","EQ","21-Sep-2017","       1292.45","       1293.50","       1296.65","       1280.10","       1291.00","       1291.45","       1290.25","     485105","           625904780.55","      18723","     274974","         56.68"
"M&amp;M","EQ","22-Sep-2017","       1291.45","       1288.00","       1297.00","       1281.55","       1285.45","       1287.15","       1287.01","     858496","          1104893453.95","      33180","     631537","         73.56"
"M&amp;M","EQ","25-Sep-2017","       1287.15","       1282.60","       1292.00","       1246.00","       1262.00","       1260.00","       1262.77","    1145208","          1446133638.90","      67063","     757153","         66.11"
"M&amp;M","EQ","26-Sep-2017","       1260.00","       1265.30","       1265.45","       1242.35","       1246.50","       1247.15","       1251.65","     657247","           822645186.90","      56194","     443124","         67.42"
"M&amp;M","EQ","27-Sep-2017","       1247.15","       1253.00","       1255.40","       1224.00","       1236.25","       1232.00","       1237.82","     710275","           879195196.25","      33381","     451389","         63.55"
"M&amp;M","EQ","28-Sep-2017","       1232.00","       1232.00","       1249.00","       1225.00","       1228.00","       1230.55","       1237.94","    1541084","          1907771928.90","      58370","    1175615","         76.28"
"M&amp;M","EQ","29-Sep-2017","       1230.55","       1231.00","       1260.50","       1231.00","       1258.00","       1254.25","       1249.84","    1216715","          1520693969.85","      46670","     896825","         73.71"
"M&amp;M","EQ","03-Oct-2017","       1254.25","       1265.00","       1291.45","       1252.75","       1257.05","       1264.30","       1276.39","    1785354","          2278804670.50","      52181","    1045836","         58.58"
